time,kmph
235.0,51.0
236.0,49.8
237.0,49.2
238.0,48.4
239.0,46.9
240.0,44.3
241.0,41.5
242.0,39.5
243.0,37.0
244.0,34.6
245.0,32.3
246.0,29.0
247.0,25.1
248.0,22.2
249.0,20.9
250.0,20.4
251.0,19.5
252.0,18.4
253.0,17.8
254.0,17.8
255.0,17.4
256.0,15.7
257.0,14.5
258.0,15.4
259.0,17.9
260.0,20.6
261.0,23.2
262.0,25.7
263.0,28.7
264.0,32.5
265.0,36.1
266.0,39.0
267.0,40.8
268.0,42.9
269.0,44.4
270.0,45.9
271.0,46.0
272.0,45.6
273.0,45.3
274.0,43.7
275.0,40.8
276.0,38.0
277.0,34.4
278.0,30.9
279.0,25.5
280.0,21.4
281.0,20.2
282.0,22.9
283.0,26.6
284.0,30.2
285.0,34.1
286.0,37.4
287.0,40.7
288.0,44.0
289.0,47.3
290.0,49.2
291.0,49.8
292.0,49.2
293.0,48.1
294.0,47.3
295.0,46.8
296.0,46.7
297.0,46.8
298.0,47.1
299.0,47.3
300.0,47.3
301.0,47.1
302.0,46.6
303.0,45.8
304.0,44.8
305.0,43.3
306.0,41.8
307.0,40.8
308.0,40.3
309.0,40.1
310.0,39.7
311.0,39.2
312.0,38.5
313.0,37.4
314.0,36.0
315.0,34.4
316.0,33.0
317.0,31.7
318.0,30.0
319.0,28.0
320.0,26.1
321.0,25.6
322.0,24.9
323.0,24.9
324.0,24.3
325.0,23.9
326.0,23.9
327.0,23.6
328.0,23.3
329.0,20.5
330.0,17.5
331.0,16.9
332.0,16.7
333.0,15.9
334.0,15.6
335.0,15.0
336.0,14.5
337.0,14.3
338.0,14.5
339.0,15.4
340.0,17.8
341.0,21.1
342.0,24.1
343.0,25.0
344.0,25.3
345.0,25.5
346.0,26.4
347.0,26.6
348.0,27.1
349.0,27.7
350.0,28.1
351.0,28.2
352.0,28.1
353.0,28.0
354.0,27.9
355.0,27.9
356.0,28.1
357.0,28.2
358.0,28.0
359.0,26.9
360.0,25.0
361.0,23.2
362.0,21.9
363.0,21.1
364.0,20.7
365.0,20.7
366.0,20.8
367.0,21.2
368.0,22.1
369.0,23.5
370.0,24.3
371.0,24.5
372.0,23.8
373.0,21.3
374.0,17.7
375.0,14.4
376.0,11.9
377.0,10.2
378.0,8.9
379.0,8.0
380.0,7.2
381.0,6.1
382.0,4.9
383.0,3.7
384.0,2.3
385.0,0.9
386.0,0.0
387.0,0.0
388.0,0.0
389.0,0.0
390.0,0.0
391.0,0.0
392.0,0.5
393.0,2.1
394.0,4.8
395.0,8.3
396.0,12.3
397.0,16.6
398.0,20.9
399.0,24.2
400.0,25.6
401.0,25.6
402.0,24.9
403.0,23.3
404.0,21.6
405.0,20.2
406.0,18.7
407.0,17.0
408.0,15.3
409.0,14.2
410.0,13.9
411.0,14.0
412.0,14.2
413.0,14.5
414.0,14.9
415.0,15.9
416.0,17.4
417.0,18.7
418.0,19.1
419.0,18.8
420.0,17.6
421.0,16.6
422.0,16.2
423.0,16.4
424.0,17.2
425.0,19.1
426.0,22.6
427.0,27.4
428.0,31.6
429.0,33.4
430.0,33.5
431.0,32.8
432.0,31.9
433.0,31.3
434.0,31.1
435.0,30.6
436.0,29.2
437.0,26.7
438.0,23.0
439.0,18.2
440.0,12.9
441.0,7.7
442.0,3.8
443.0,1.3
444.0,0.2
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.5
513.0,2.5
514.0,6.6
515.0,11.8
516.0,16.8
517.0,20.5
518.0,21.9
519.0,21.9
520.0,21.3
521.0,20.3
522.0,19.2
523.0,17.8
524.0,15.5
525.0,11.9
526.0,7.6
527.0,4.0
528.0,2.0
529.0,1.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.2
534.0,1.2
535.0,3.2
536.0,5.2
537.0,8.2
538.0,13.0
539.0,18.8
540.0,23.1
541.0,24.5
542.0,24.5
543.0,24.3
544.0,23.6
545.0,22.3
546.0,20.1
547.0,18.5
548.0,17.2
549.0,16.3
550.0,15.4
551.0,14.7
552.0,14.3
553.0,13.7
554.0,13.3
555.0,13.1
556.0,13.1
557.0,13.3
558.0,13.8
559.0,14.5
560.0,16.5
561.0,17.0
562.0,17.0
563.0,17.0
564.0,15.4
565.0,10.1
566.0,4.8
567.0,0.0
568.0,0.0
569.0,0.0
570.0,0.0
571.0,0.0
572.0,0.0
573.0,0.0
574.0,0.0
575.0,0.0
576.0,0.0
577.0,0.0
578.0,0.0
579.0,0.0
580.0,0.0
581.0,0.0
582.0,0.0
583.0,0.0
584.0,0.0
585.0,0.0
586.0,0.0
587.0,0.0
588.0,0.0
589.0,0.0
590.0,0.0
591.0,0.0
592.0,0.0
593.0,0.0
594.0,0.0
595.0,0.0
596.0,0.0
597.0,0.0
598.0,0.0
599.0,0.0
600.0,0.0
601.0,1.0
602.0,2.1
603.0,5.2
604.0,9.2
605.0,13.5
606.0,18.1
607.0,22.3
608.0,26.0
609.0,29.3
610.0,32.8
611.0,36.0
612.0,39.2
613.0,42.5
614.0,45.7
615.0,48.2
616.0,48.4
617.0,48.2
618.0,47.8
619.0,47.0
620.0,45.9
621.0,44.9
622.0,44.4
623.0,44.3
624.0,44.5
625.0,45.1
626.0,45.7
627.0,46.0
628.0,46.0
629.0,46.0
630.0,46.1
631.0,46.7
632.0,47.7
633.0,48.9
634.0,50.3
635.0,51.6
636.0,52.6
637.0,53.0
638.0,53.0
639.0,52.9
640.0,52.7
641.0,52.6
642.0,53.1
643.0,54.3
644.0,55.2
645.0,55.5
646.0,55.9
647.0,56.3
648.0,56.7
649.0,56.9
650.0,56.8
651.0,56.0
652.0,54.2
653.0,52.1
654.0,50.1
655.0,47.2
656.0,43.2
657.0,39.2
658.0,36.5
659.0,34.3
660.0,31.0
661.0,26.0
662.0,20.7
663.0,15.4
664.0,13.1
665.0,12.0
666.0,12.5
667.0,14.0
668.0,19.0
669.0,23.2
670.0,28.0
671.0,32.0
672.0,34.0
673.0,36.0
674.0,38.0
675.0,40.0
676.0,40.3
677.0,40.5
678.0,39.0
679.0,35.7
680.0,31.8
681.0,27.1
682.0,22.8
683.0,21.1
684.0,18.9
685.0,18.9
686.0,21.3
687.0,23.9
688.0,25.9
689.0,28.4
690.0,30.3
691.0,30.9
692.0,31.1
693.0,31.8
694.0,32.7
695.0,33.2
696.0,32.4
697.0,28.3
698.0,25.8
699.0,23.1
700.0,21.8
701.0,21.2
702.0,21.0
703.0,21.0
704.0,20.9
705.0,19.9
706.0,17.9
707.0,15.1
708.0,12.8
709.0,12.0
710.0,13.2
711.0,17.1
712.0,21.1
713.0,21.8
714.0,21.2
715.0,18.5
716.0,13.9
717.0,12.0
718.0,12.0
719.0,13.0
720.0,16.3
721.0,20.5
722.0,23.9
723.0,26.0
724.0,28.0
725.0,31.5
726.0,33.4
727.0,36.0
728.0,37.8
729.0,40.2
730.0,41.6
731.0,41.9
732.0,42.0
733.0,42.2
734.0,42.4
735.0,42.7
736.0,43.1
737.0,43.7
738.0,44.0
739.0,44.1
740.0,45.3
741.0,46.4
742.0,47.2
743.0,47.3
744.0,47.4
745.0,47.4
746.0,47.5
747.0,47.9
748.0,48.6
749.0,49.4
750.0,49.8
751.0,49.8
752.0,49.7
753.0,49.3
754.0,48.5
755.0,47.6
756.0,46.3
757.0,43.7
758.0,39.3
759.0,34.1
760.0,29.0
761.0,23.7
762.0,18.4
763.0,14.3
764.0,12.0
765.0,12.8
766.0,16.0
767.0,20.4
768.0,24.0
769.0,29.0
770.0,32.2
771.0,36.8
772.0,39.4
773.0,43.2
774.0,45.8
775.0,49.2
776.0,51.4
777.0,54.2
778.0,56.0
779.0,58.3
780.0,59.8
781.0,61.7
782.0,62.7
783.0,63.3
784.0,63.6
785.0,64.0
786.0,64.7
787.0,65.2
788.0,65.3
789.0,65.3
790.0,65.4
791.0,65.7
792.0,66.0
793.0,65.6
794.0,63.5
795.0,59.7
796.0,54.6
797.0,49.3
798.0,44.9
799.0,42.3
800.0,41.4
801.0,41.3
802.0,43.0
803.0,45.0
804.0,46.5
805.0,48.3
806.0,49.5
807.0,51.2
808.0,52.2
809.0,51.6
810.0,49.7
811.0,47.4
812.0,43.7
813.0,39.7
814.0,35.5
815.0,31.1
816.0,26.3
817.0,21.9
818.0,18.0
819.0,17.0
820.0,18.0
821.0,21.4
822.0,24.8
823.0,27.9
824.0,30.8
825.0,33.0
826.0,35.1
827.0,37.1
828.0,38.9
829.0,41.4
830.0,44.0
831.0,46.3
832.0,47.7
833.0,48.2
834.0,48.7
835.0,49.3
836.0,49.8
837.0,50.2
838.0,50.9
839.0,51.8
840.0,52.5
841.0,53.3
842.0,54.5
843.0,55.7
844.0,56.5
845.0,56.8
846.0,57.0
847.0,57.2
848.0,57.7
849.0,58.7
850.0,60.1
851.0,61.1
852.0,61.7
853.0,62.3
854.0,62.9
855.0,63.3
856.0,63.4
857.0,63.5
858.0,63.9
859.0,64.4
860.0,65.0
861.0,65.6
862.0,66.6
863.0,67.4
864.0,68.2
865.0,69.1
866.0,70.0
867.0,70.8
868.0,71.5
869.0,72.4
870.0,73.0
871.0,73.7
872.0,74.4
873.0,74.9
874.0,75.3
875.0,75.6
876.0,75.8
877.0,76.6
878.0,76.5
879.0,76.2
880.0,75.8
881.0,75.4
882.0,74.8
883.0,73.9
884.0,72.7
885.0,71.3
886.0,70.4
887.0,70.0
888.0,70.0
889.0,69.0
890.0,68.0
891.0,67.3
892.0,66.2
893.0,64.8
894.0,63.6
895.0,62.6
896.0,62.1
897.0,61.9
898.0,61.9
899.0,61.8
900.0,61.5
901.0,60.9
902.0,59.7
903.0,54.6
904.0,49.3
905.0,44.9
906.0,42.3
907.0,41.4
908.0,41.3
909.0,42.1
910.0,44.7
911.0,46.0
912.0,48.8
913.0,50.1
914.0,51.3
915.0,54.1
916.0,55.2
917.0,56.2
918.0,56.1
919.0,56.1
920.0,56.5
921.0,57.5
922.0,59.2
923.0,60.7
924.0,61.8
925.0,62.3
926.0,62.7
927.0,62.0
928.0,61.3
929.0,60.9
930.0,60.5
931.0,60.2
932.0,59.8
933.0,59.4
934.0,58.6
935.0,57.5
936.0,56.6
937.0,56.0
938.0,55.5
939.0,55.0
940.0,54.4
941.0,54.1
942.0,54.0
943.0,53.9
944.0,53.9
945.0,54.0
946.0,54.2
947.0,55.0
948.0,55.8
949.0,56.2
950.0,56.1
951.0,55.1
952.0,52.7
953.0,48.4
954.0,43.1
955.0,37.8
956.0,32.5
957.0,27.2
958.0,25.1
959.0,27.0
960.0,29.8
961.0,33.8
962.0,37.0
963.0,40.7
964.0,43.0
965.0,45.6
966.0,46.9
967.0,47.0
968.0,46.9
969.0,46.5
970.0,45.8
971.0,44.3
972.0,41.3
973.0,36.5
974.0,31.7
975.0,27.0
976.0,24.7
977.0,19.3
978.0,16.0
979.0,13.2
980.0,10.7
981.0,8.8
982.0,7.2
983.0,5.5
984.0,3.2
985.0,1.1
986.0,0.0
987.0,0.0
988.0,0.0
989.0,0.0
990.0,0.0
991.0,0.0
992.0,0.0
993.0,0.0
994.0,0.0
995.0,0.0
996.0,0.0
997.0,0.0
998.0,0.0
999.0,0.0
1000.0,0.0
1001.0,0.0
1002.0,0.0
1003.0,0.0
1004.0,0.0
1005.0,0.0
1006.0,0.0
1007.0,0.0
1008.0,0.0
1009.0,0.0
1010.0,0.0
1011.0,0.0
1012.0,0.0
1013.0,0.0
1014.0,0.0
1015.0,0.0
1016.0,0.0
1017.0,0.0
1018.0,0.0
1019.0,0.0
1020.0,0.0
1021.0,0.0
1022.0,0.0
1023.0,0.0
1024.0,0.0
1025.0,0.0
1026.0,0.0
1027.0,0.8
1028.0,3.6
1029.0,8.6
1030.0,14.6
1031.0,20.0
1032.0,24.4
1033.0,28.2
1034.0,31.7
1035.0,35.0
1036.0,37.6
1037.0,39.7
1038.0,41.5
1039.0,43.6
1040.0,46.0
1041.0,48.4
1042.0,50.5
1043.0,51.9
1044.0,52.6
1045.0,52.8
1046.0,52.9
1047.0,53.1
1048.0,53.3
1049.0,53.1
1050.0,52.3
1051.0,50.7
1052.0,48.8
1053.0,46.5
1054.0,43.8
1055.0,40.3
1056.0,36.0
1057.0,30.7
1058.0,25.4
1059.0,21.0
1060.0,16.7
1061.0,13.4
1062.0,12.0
1063.0,12.1
1064.0,12.8
1065.0,15.6
1066.0,19.9
1067.0,23.4
1068.0,24.6
1069.0,27.0
1070.0,29.0
1071.0,32.0
1072.0,34.8
1073.0,37.7
1074.0,40.8
1075.0,43.2
1076.0,46.0
1077.0,48.0
1078.0,50.7
1079.0,52.0
1080.0,54.5
1081.0,55.9
1082.0,57.4
1083.0,58.1
1084.0,58.4
1085.0,58.8
1086.0,58.8
1087.0,58.6
1088.0,58.7
1089.0,58.8
1090.0,58.8
1091.0,58.8
1092.0,59.1
1093.0,60.1
1094.0,61.7
1095.0,63.0
1096.0,63.7
1097.0,63.9
1098.0,63.5
1099.0,62.3
1100.0,60.3
1101.0,58.9
1102.0,58.4
1103.0,58.8
1104.0,60.2
1105.0,62.3
1106.0,63.9
1107.0,64.5
1108.0,64.4
1109.0,63.5
1110.0,62.0
1111.0,61.2
1112.0,61.3
1113.0,61.7
1114.0,62.0
1115.0,64.6
1116.0,66.0
1117.0,66.2
1118.0,65.8
1119.0,64.7
1120.0,63.6
1121.0,62.9
1122.0,62.4
1123.0,61.7
1124.0,60.1
1125.0,57.3
1126.0,55.8
1127.0,50.5
1128.0,45.2
1129.0,40.1
1130.0,36.2
1131.0,32.9
1132.0,29.8
1133.0,26.6
1134.0,23.0
1135.0,19.4
1136.0,16.3
1137.0,14.6
1138.0,14.2
1139.0,14.3
1140.0,14.6
1141.0,15.1
1142.0,16.4
1143.0,19.1
1144.0,22.5
1145.0,24.4
1146.0,24.8
1147.0,22.7
1148.0,17.4
1149.0,13.8
1150.0,12.0
1151.0,12.0
1152.0,12.0
1153.0,13.9
1154.0,17.7
1155.0,22.8
1156.0,27.3
1157.0,31.2
1158.0,35.2
1159.0,39.4
1160.0,42.5
1161.0,45.4
1162.0,48.2
1163.0,50.3
1164.0,52.6
1165.0,54.5
1166.0,56.6
1167.0,58.3
1168.0,60.0
1169.0,61.5
1170.0,63.1
1171.0,64.3
1172.0,65.7
1173.0,67.1
1174.0,68.3
1175.0,69.7
1176.0,70.6
1177.0,71.6
1178.0,72.6
1179.0,73.5
1180.0,74.2
1181.0,74.9
1182.0,75.6
1183.0,76.3
1184.0,77.1
1185.0,77.9
1186.0,78.5
1187.0,79.0
1188.0,79.7
1189.0,80.3
1190.0,81.0
1191.0,81.6
1192.0,82.4
1193.0,82.9
1194.0,83.4
1195.0,83.8
1196.0,84.2
1197.0,84.7
1198.0,85.2
1199.0,85.6
1200.0,86.3
1201.0,86.8
1202.0,87.4
1203.0,88.0
1204.0,88.3
1205.0,88.7
1206.0,89.0
1207.0,89.3
1208.0,89.8
1209.0,90.2
1210.0,90.6
1211.0,91.0
1212.0,91.3
1213.0,91.6
1214.0,91.9
1215.0,92.2
1216.0,92.8
1217.0,93.1
1218.0,93.3
1219.0,93.5
1220.0,93.7
1221.0,93.9
1222.0,94.0
1223.0,94.1
1224.0,94.3
1225.0,94.4
1226.0,94.6
1227.0,94.7
1228.0,94.8
1229.0,95.0
1230.0,95.1
1231.0,95.3
1232.0,95.4
1233.0,95.6
1234.0,95.7
1235.0,95.8
1236.0,96.0
1237.0,96.1
1238.0,96.3
1239.0,96.4
1240.0,96.6
1241.0,96.8
1242.0,97.0
1243.0,97.2
1244.0,97.3
1245.0,97.4
1246.0,97.4
1247.0,97.4
1248.0,97.4
1249.0,97.3
1250.0,97.3
1251.0,97.3
1252.0,97.3
1253.0,97.2
1254.0,97.1
1255.0,97.0
1256.0,96.9
1257.0,96.7
1258.0,96.4
1259.0,96.1
1260.0,95.7
1261.0,95.5
1262.0,95.3
1263.0,95.2
1264.0,95.0
1265.0,94.9
1266.0,94.7
1267.0,94.5
1268.0,94.4
1269.0,94.4
1270.0,94.3
1271.0,94.3
1272.0,94.1
1273.0,93.9
1274.0,93.4
1275.0,92.8
1276.0,92.0
1277.0,91.3
1278.0,90.6
1279.0,90.0
1280.0,89.3
1281.0,88.7
1282.0,88.1
1283.0,87.4
1284.0,86.7
1285.0,86.0
1286.0,85.3
1287.0,84.7
1288.0,84.1
1289.0,83.5
1290.0,82.9
1291.0,82.3
1292.0,81.7
1293.0,81.1
1294.0,80.5
1295.0,79.9
1296.0,79.4
1297.0,79.1
1298.0,78.8
1299.0,78.5
1300.0,78.2
1301.0,77.9
1302.0,77.6
1303.0,77.3
1304.0,77.0
1305.0,76.7
1306.0,76.0
1307.0,76.0
1308.0,76.0
1309.0,75.9
1310.0,76.0
1311.0,76.0
1312.0,76.1
1313.0,76.3
1314.0,76.5
1315.0,76.6
1316.0,76.8
1317.0,77.1
1318.0,77.1
1319.0,77.2
1320.0,77.2
1321.0,77.6
1322.0,78.0
1323.0,78.4
1324.0,78.8
1325.0,79.2
1326.0,80.3
1327.0,80.8
1328.0,81.0
1329.0,81.0
1330.0,81.0
1331.0,81.0
1332.0,81.0
1333.0,80.9
1334.0,80.6
1335.0,80.3
1336.0,80.0
1337.0,79.9
1338.0,79.8
1339.0,79.8
1340.0,79.8
1341.0,79.9
1342.0,80.0
1343.0,80.4
1344.0,80.8
1345.0,81.2
1346.0,81.5
1347.0,81.6
1348.0,81.6
1349.0,81.4
1350.0,80.7
1351.0,79.6
1352.0,78.2
1353.0,76.8
1354.0,75.3
1355.0,73.8
1356.0,72.1
1357.0,70.2
1358.0,68.2
1359.0,66.1
1360.0,63.8
1361.0,61.6
1362.0,60.2
1363.0,59.8
1364.0,60.4
1365.0,61.8
1366.0,62.6
1367.0,62.7
1368.0,61.9
1369.0,60.0
1370.0,58.4
1371.0,57.8
1372.0,57.8
1373.0,57.8
1374.0,57.3
1375.0,56.2
1376.0,54.3
1377.0,50.8
1378.0,45.5
1379.0,40.2
1380.0,34.9
1381.0,29.6
1382.0,28.7
1383.0,29.3
1384.0,30.5
1385.0,31.7
1386.0,32.9
1387.0,35.0
1388.0,38.0
1389.0,40.5
1390.0,42.7
1391.0,45.8
1392.0,47.5
1393.0,48.9
1394.0,49.4
1395.0,49.4
1396.0,49.2
1397.0,48.7
1398.0,47.9
1399.0,46.9
1400.0,45.6
1401.0,44.2
1402.0,42.7
1403.0,40.7
1404.0,37.1
1405.0,33.9
1406.0,30.6
1407.0,28.6
1408.0,27.3
1409.0,27.2
1410.0,27.5
1411.0,27.4
1412.0,27.1
1413.0,26.7
1414.0,26.8
1415.0,28.2
1416.0,31.1
1417.0,34.8
1418.0,38.4
1419.0,40.9
1420.0,41.7
1421.0,40.9
1422.0,38.3
1423.0,35.3
1424.0,34.3
1425.0,34.6
1426.0,36.3
1427.0,39.5
1428.0,41.8
1429.0,42.5
1430.0,41.9
1431.0,40.1
1432.0,36.6
1433.0,31.3
1434.0,26.0
1435.0,20.6
1436.0,19.1
1437.0,19.7
1438.0,21.1
1439.0,22.0
1440.0,22.1
1441.0,21.4
1442.0,19.6
1443.0,18.3
1444.0,18.0
1445.0,18.3
1446.0,18.5
1447.0,17.9
1448.0,15.0
1449.0,9.9
1450.0,4.6
1451.0,1.2
1452.0,0.0
1453.0,0.0
1454.0,0.0
1455.0,0.0
1456.0,0.0
1457.0,0.0
1458.0,0.0
1459.0,0.0
1460.0,0.0
1461.0,0.0
1462.0,0.0
1463.0,0.0
1464.0,0.0
1465.0,0.0
1466.0,0.0
1467.0,0.0
1468.0,0.0
1469.0,0.0
1470.0,0.0
1471.0,0.0
1472.0,0.0
1473.0,0.0
1474.0,0.0
1475.0,0.0
1476.0,0.0
1477.0,0.0
1478.0,0.0
1479.0,2.2
1480.0,4.4
1481.0,6.3
1482.0,7.9
1483.0,9.2
1484.0,10.4
1485.0,11.5
1486.0,12.9
1487.0,14.7
1488.0,17.0
1489.0,19.8
1490.0,23.1
1491.0,26.7
1492.0,30.5
1493.0,34.1
1494.0,37.5
1495.0,40.6
1496.0,43.3
1497.0,45.7
1498.0,47.7
1499.0,49.3
1500.0,50.5
1501.0,51.3
1502.0,52.1
1503.0,52.7
1504.0,53.4
1505.0,54.0
1506.0,54.5
1507.0,55.0
1508.0,55.6
1509.0,56.3
1510.0,57.2
1511.0,58.5
1512.0,60.2
1513.0,62.3
1514.0,64.7
1515.0,67.1
1516.0,69.2
1517.0,70.7
1518.0,71.9
1519.0,72.7
1520.0,73.4
1521.0,73.8
1522.0,74.1
1523.0,74.0
1524.0,73.6
1525.0,72.5
1526.0,70.8
1527.0,68.6
1528.0,66.2
1529.0,64.0
1530.0,62.2
1531.0,60.9
1532.0,60.2
1533.0,60.0
1534.0,60.4
1535.0,61.4
1536.0,63.2
1537.0,65.6
1538.0,68.4
1539.0,71.6
1540.0,74.9
1541.0,78.4
1542.0,81.8
1543.0,84.9
1544.0,87.4
1545.0,89.0
1546.0,90.0
1547.0,90.6
1548.0,91.0
1549.0,91.5
1550.0,92.0
1551.0,92.7
1552.0,93.4
1553.0,94.2
1554.0,94.9
1555.0,95.7
1556.0,96.6
1557.0,97.7
1558.0,98.9
1559.0,100.4
1560.0,102.0
1561.0,103.6
1562.0,105.2
1563.0,106.8
1564.0,108.5
1565.0,110.2
1566.0,111.9
1567.0,113.7
1568.0,115.3
1569.0,116.8
1570.0,118.2
1571.0,119.5
1572.0,120.7
1573.0,121.8
1574.0,122.6
1575.0,123.2
1576.0,123.6
1577.0,123.7
1578.0,123.6
1579.0,123.3
1580.0,123.0
1581.0,122.5
1582.0,122.1
1583.0,121.5
1584.0,120.8
1585.0,120.0
1586.0,119.1
1587.0,118.1
1588.0,117.1
1589.0,116.2
1590.0,115.5
1591.0,114.9
1592.0,114.5
1593.0,114.1
1594.0,113.9
1595.0,113.7
1596.0,113.3
1597.0,112.9
1598.0,112.2
1599.0,111.4
1600.0,110.5
1601.0,109.5
1602.0,108.5
1603.0,107.7
1604.0,107.1
1605.0,106.6
1606.0,106.4
1607.0,106.2
1608.0,106.2
1609.0,106.2
1610.0,106.4
1611.0,106.5
1612.0,106.8
1613.0,107.2
1614.0,107.8
1615.0,108.5
1616.0,109.4
1617.0,110.5
1618.0,111.7
1619.0,113.0
1620.0,114.1
1621.0,115.1
1622.0,115.9
1623.0,116.5
1624.0,116.7
1625.0,116.6
1626.0,116.2
1627.0,115.2
1628.0,113.8
1629.0,112.0
1630.0,110.1
1631.0,108.3
1632.0,107.0
1633.0,106.1
1634.0,105.8
1635.0,105.7
1636.0,105.7
1637.0,105.6
1638.0,105.3
1639.0,104.9
1640.0,104.4
1641.0,104.0
1642.0,103.8
1643.0,103.9
1644.0,104.4
1645.0,105.1
1646.0,106.1
1647.0,107.2
1648.0,108.5
1649.0,109.9
1650.0,111.3
1651.0,112.7
1652.0,113.9
1653.0,115.0
1654.0,116.0
1655.0,116.8
1656.0,117.6
1657.0,118.4
1658.0,119.2
1659.0,120.0
1660.0,120.8
1661.0,121.6
1662.0,122.3
1663.0,123.1
1664.0,123.8
